#1, Buffy	Closet Monster (2015)  [Buffy 4]  <31>
$, Homo	Nykytaiteen museo (1986)  [Himself]  <25>
$, Homo	Suuri illusioni (1985)  [Guests]  <22>
$, Steve	E.R. Sluts (2003) (V)  <12>
$, Steve	Battle of the Sexes (2017)  (as $hutter Boy)  [Bobby Riggs Fan]  <10>
$, Steve	NVTION: The Star Nation Rapumentary (2017)  (as $hutter Boy)  [Himself]  <1>
$, Steve	Secret in Their Eyes (2015)  (uncredited)  [2002 Dodger Fan]
$, Steve	Steve Jobs (2015)  (uncredited)  [1988 Opera House Patron]
$, Steve	Straight Outta Compton (2015)  (uncredited)  [Club Patron/Dopeman]
$lim, Bee Moe	Fatherhood 101 (2013)  (as Brandon Moore)  [Himself - President, Passages]
$lim, Bee Moe	For Thy Love 2 (2009)  [Thug 1]
$lim, Bee Moe	Night of the Jackals (2009) (V)  [Trooth]
$ly, Yung	Town Bizzness Pt 3 (2014) (V)  [Yung $ly]
$torm, Cuntry	From the Woods: The Discovery of LYB (????)  (as Country $torm)  [Himself]
& Davi, Bruninho	Michel na Balada (2011) (V)  [Themselves]
& Davi, Bruninho	Michel Tel�: Sunset (2013) (V)  [Themselves]
& Fabiano, C�sar Menotti	Nascemos para Cantar (2010) (TV)  [Themselves]
& Fabiano, C�sar Menotti	Show da Virada (2011) (TV)  [Themselves - Performers]
& Fabiano, C�sar Menotti	Teleton 2010 (2010) (TV)  [Themselves]
& Vin�cius, Jo�o Bosco	Show da Virada (2011) (TV)  [Themselves - Performers]
& Vin�cius, Jo�o Bosco	Teleton 2009 (2009) (TV)  [Themselves]
& Vin�cius, Jo�o Bosco	Teleton 2012 (2012) (TV)  [Themselves]
' Chris Focus' Adolphus, Chris	Virtues of Habit (????)  [Himself]
' Danilo' Jurado Jr., Jori	Lapis, Ballpen at Diploma, a True to Life Journey (2014)  [Jaime (young)]  <9>
''El Lobo'' Rubio, Humberto	24� 51' Latitud Norte (2015)  [Lobo]
''El Lobo'' Rubio, Humberto	Episodio de Una Espera (????)  [Lobo]
''Hooper''Kelly, Simon	Solitary (2015/I)  (as Simon P.J. Kelly)  [Matthew O Brien]
'Angel' Garrett, Christopher	A Call in the Dark (2017)  [Head Vamp]
'Angel' Garrett, Christopher	Zombie Reign: Revelation (2016)  [Mason McDermott]
'Ariffin, Syaiful	Desire (2014/III)  [Actor Playing Eteocles from 'Antigone']
'Ariffin, Syaiful	Shaping Bamboo (1979)  [Himself - 'au paina panpipe ensemble]
'Atu'ake, Taipaleti	When the Man Went South (2014)  [Two Palms - Ua'i Paame]  <8>
'Avacado' Wolfe, David	The Gift (2010/I)  [Himself]
'babeepower' Viera, Michael	Little Angel (Angelita) (2015)  [Chico]  <9>
'babeepower' Viera, Michael	Mixing Nia (1998)  [Rapper]
'babeepower' Viera, Michael	Rock Steady (2002)  [Stevie]
'babeepower' Viera, Michael	W8 (Weight) (2012)  [Man In Car]
'Bear'Boyd, Steven	The Replacements (2000)  (uncredited)  [Defensive Tackle - Washington Sentinels]
'bliss' Vilbon, Kirlew	All Out Dysfunktion! (2016)  [Bliss]
'bliss' Vilbon, Kirlew	Gook (2017)  [Bliss]
'Boogie' Brown, Steve	Bait Shop (2008) (V)  [Fishing Competitor]  <28>
'Bootsy' Thomas, George	My Song for You (2010)  [Cooley's Customer/Celebration Guest]  <16>
'Boretta' Torres, Pete	Hustle Beach (2017)  [Tony]
'Buguelo' Neto, Alderico	Babado Novo: Ver-te Mar (2007) (V)  (as Buguelo)  [Himself - Drums]
'Buguelo' Neto, Alderico	Claudia Leitte: Ao Vivo em Copacabana (2008) (V)  [Himself - Claudia Leitte Band]  <7>
'Buguelo' Neto, Alderico	Claudia Leitte: Axemusic - Ao Vivo (2014) (V)  (as Buguelo)  [Himself - Claudia Leitte Band: Drums]  <11>
'Buguelo' Neto, Alderico	Claudia Leitte: Negalora - �ntimo (2012) (V)  (as Buguelo)  [Himself - Invited Musician: Bateria]  <25>
'Buguelo' Neto, Alderico	Roupa Ac�stico 2 (2006) (V)  [Himself]
'Buguelo' Neto, Alderico	Uau! Babado Novo Ao Vivo em Salvador (2004) (V)  [Himself - Drums]
'Builder Bill' Ammons, Bill	Welcome to Slab City (2012)  [Himself]