	
"#7DaysLater" (2013)	#7dayslater is an interactive comedy series featuring an ensemble cast of YouTube celebrities. Each week the audience writes the brief via social media for an all-new episode featuring a well-known guest-star. Seven days later that week's episode premieres on TV and across multiple platforms.
"#BlackLove" (2015) {Bringing Sexy Back (#1.3)}	This week, the five women work on getting what they want in a relationship by being more open and learning to communicate properly. Cynthia, after dealing with a heartbreaking separation, goes on her first date in several years, with disastrous results. Jahmil meets a cute and confident girl and they decide to go on a date, but when the conversation turns to her past, is she pushed too far out of her comfort zone? Tennesha tries to take a step back from her control issues and lets Errol take the lead on a date, while Laree is challenged to break down some of her walls and commit herself to Karl.
"#BlackLove" (2015) {Crash the Party (#1.9)}	With just one week left in the workshops, the women consider the idea of "The One." The ladies are stunned when Jahmil finally comes to a decision about Bentley and if he's the one for her. Jack challenges Tennesha to express her feelings of love towards Errol, but can she put herself out there and face possible rejection?
"#BlackLove" (2015) {Like a Virgin (#1.4)}	All of the women are struggling with what makes a successful relationship work, so the experts advise them to explore how to break down some of their walls. Jahmil has an emotional breakdown and reveals that a past heartbreak is holding her back from committing to another person. Monet begins to discover that she gives men too much of a chance and it's holding her back from meeting the right kind of man. meanwhile, one of the women takes a huge step in her relationship: Tennesha reveals to the group that she and Errol were intimate in the bedroom. But, does the newfound closeness come with more of Tennesha's control issues?
"#BlackLove" (2015) {Making Lemonade Out of Lemons (#1.2)}	All of the women start making strides towards finding their own version of a happy ending. Tennesha and Errol decide to become exclusive, but Laree just isn't ready to tell Karl she loves him, even though he has expressed that sentiment to her. Cynthia finds it hard to venture out on her own after her tumultuous separation, and Monet finally finds peace in her divorce when she decides to throw a 'freedom' party to celebrate!
"#BlackLove" (2015) {Maybe Baby (#1.8)}	As the women focus on what commitment means to them, Cynthia reveals a shocking secret to the ladies that may have led to her divorce. Monet goes on another date with Kyle, and reveals that she is celibate and recently divorced. Will this turn him off?
"#BlackLove" (2015) {Miss Independent (#1.5)}	All five of these women are independent and strong willed, and because of this, they've faced strife in their relationships, past and present. On Jamil's second date with Nneka, Nneka shares that she wants a committed relationship, leaving Jahmil in a difficult position. Jack drops a bomb on Monet in their one on one, which makes her realize that she has been looking at her dating life all wrong. Tennesha is ready to introduce the ladies to Errol at her housewarming party, but her nervousness leads to her controlling nature coming out again. Can she reign it in before she drives Errol away?
"#BlackLove" (2015) {Pack Your Bags (#1.6)}	In order to truly move forward towards healthy and happy relationships, these five women must start letting go of all their baggage. Cynthia battles with finally ending her marriage, Monet deals with her ticking clock, and Tennesha reveals that she is keeping a huge secret from Errol. Jahmil struggles to reflect on her past when she is forced to face her difficult childhood and how it connects to her fear of commitment. Will her refusal to connect the pieces prevent her from opening up to the love she deserves?
"#BlackLove" (2015) {Sealing the Deal (#1.10)}	Despite having gone through a life changing process in the past ten weeks, the women still have issues to resolve before the week is up in order for them to get their love lives in check. Monet realizes she has one final piece to let go of.
"#BlackLove" (2015) {Sexy in the City (#1.1)}	Follows five dynamic black women in New York City, including newly single Money Bell from season one of "Married at First Sight," as they embark on a unique journey to uncover what they are doing wrong when it comes to finding love. Viewers will follow the women as they attend workshops run by top relationship experts in an effort to discover the keys to finding a match. They will go on dates to discover what they like and don't like in a potential partner and gain insights about their obstacles through emotional therapy sessions. in the end, all of the women discuss their paths and wonder if they really can find the true love they have been searching for.
"#Cake" (2015)	#CAKE is a hour-long serial narrative comedy about a manhunt for a high priced assassin who murders for digital currency (Bitcoin) , the detectives who track him, and a enthused entrepreneur who runs a bitcoin mining operation. In a perfect world do you want money or power? You want the power to create your own money.
"#CandidlyNicole" (2013) {Nicole Richie Tries Her Hand at Magic (#2.1)}	Nicole has great memories of seeing Siegfried and Roy as a kid and dreams of having her own show in Las Vegas one day. She heads to the famous Magicopolis in Hollywood, where she becomes a magician's assistant and tries her best not to steal the show.
"#CandidlyNicole" (2013) {What's My Sports Vibe (#2.19)}	When you're married to a sports nut, sometimes it helps to know a little about their favorite teams. Like, for instance, what sport the team plays. So Nicole sets out to learn everything there is to know about every single sport...in one sitting.
"#DaddyLeaks" (????)	The life of four close friends in their late thirties is about to change forever thanks to a data breach that releases the names of donors to a sperm bank with fraudulent business practices. They hardly even remember donating their sperm twenty-three years prior when they were just teenagers in need of some easy money. Throughout the series, the imminent arrival of the children they may have fathered dramatically alters their lives, but never their friendships.
"#DearGeorgette" (2015) {Being Vulnerable PART ONE (#8.1)}	Call me crazy, call me brave, call me neither but a couple of months ago I decided to come face to face with being vulnerable, expressing how I previously felt for a friend. I also wanted to hear a male's perspective on being vulnerable and what that looked like. My feelings for this guy don't exist anymore but when they did, I had blog post links that told many o' stories. I'll just let you see how this pans out. This is a three-part episode. You can read the posts I wrote about on my blog the writings of an imperfectionist dot tumblr dot com.
"#DearGeorgette" (2015) {Dealing with Jealousy (#2.5)}	Jealousy is a bish and can look crazy in real life if you reacted to everything you thought in your head. But what does jealousy in your head vs. communicating effectively in your real life look like? How simple is communicating your insecurities without going batshit crazy?
"#DearGeorgette" (2015) {How to Text Someone You Like (#2.3)}	I'm sure I'm an over thinker when it comes to texting my crush. What type of etiquette should one have, if any, when it comes to texting someone you're digging on? My guest and I break down four types of texting characters. What kind of texter are you?
"#DearGeorgette" (2015) {Men and Women Think Differently (#2.7)}	My conversations with my guy friends have led me to believe that some of us women are multi-layered when it comes to specific dating scenarios. For every one action or reaction a male has, my mind can easily create seven scenarios/interpretations of what I think it is. Overthinking? I prefer to call it 7 to 1. Watch how it plays out.
"#Elmira" (2014)	#Elmira follows the story of a bunch of strangers who all respond to the same CraigsList ad "Looking for roommates to share rent." Upon their arrival, the apartment is a lot smaller than anticipated, and so the flat is overpopulated. The fictional apartment building, "The Elmira," located on the fictional street, "Elmira," resides in the City of Elmira. The apartment is rented to the gang by a campy, gay, married couple, who always seem to show up unannounced at the most inopportune times. To make matters worse the apartment sits above a noisy bar. A drag bar called "Drag-Hag," which is the center of confusion to some of the characters.
"#Fuga" (2016)	Months after an apocalyptic event, a group of survivors find themselves in what it seams to be a safe place in Rio de Janeiro's country side. Having just met each other, they share their stories among all the death, chaos and destruction that surrounds them .
"#GameOn" (2014)	#GameOn is a cybersafety video following the online experiences of a group of lower secondary students who find themselves in situations that catch them off-guard and teach them the consequences of making poor decisions online. Topics include cyberbullying, excessive gaming, sharing passwords, free downloads and online friends.
"#GameOn" (2014) {Ringing Ryan (#1.2)}	When police come to talk to their class about cyber bullying, Joel cannot keep his eyes open due to being up too late playing Star Warriors with Dean - who has over slept in and is now late for school. Will there be consequences for the boys?
"#GameOn" (2014) {Stealing Grace (#1.1)}	School's out for the day. But there's still a lot happening online for a group of young friends. Grace and Bianca are dealing with cyber bullying, hacking and potential betrayal, Ryan has downloaded supposedly free ringtones, and Dean and Joel constantly playing Star Warriors.
"#GameOn" (2014) {Telling Dean (#1.4)}	Things are starting to become clearer for this group of friends. Ollie is realising he may have lost control of his selfies, Grace is still trying to find out who hacked her page, and Ryan has discovered that those 'free' ringtones are not free at all.
"#GameOn" (2014) {Texting Ollie (#1.3)}	Things are starting to crumble for this group of well meaning friends. Ryan's ringtones may be too good to be true. Whoever hacked Grace's page knows her password, which leaves Grace and Bianca feeling insecure. Dean and Joel are still playing Star Warriors and Ollie's phone is constantly beeping with notifications on his selfies.
"#Hashtag: The Series" (2013)	Friend Me. Follow Me. Like Me. Fall for Me. #Hashtag follows the love lives of two technology-obsessed best friends in Chicago. From Instagram seduction to inappropriate selfies, Twitter over sharing to OKCupid dating, Liv and Skylar are about to learn the real-life consequences of over-indulgence in the virtual world.
"#HoodDocumentary" (2016)	Triple threat R.S. (Roll Safe, or Reece Simpson to his mum and dad) continues his feud with music producer LJ, woos his unrequited love Rachel and tries in vain to convince the job centre that he has been offered James Bond.
"#LawstinWoods" (2013)	#LawstinWoods follows the story of 6 strangers who were taken from their lives and placed in woods called the "Lawstin Woods." The mysterious name of the woods happens to parallel their own misfortune, which is that they are all lost in woods. While trapped in the mystical forest they struggle to get answers, while they fight to stay alive. All the while a small group of people who claim to be residents of the Lawstin Woods taunt those who're lost, but never give the gang answers. Instead they appear to simply toy with them.
"#LawstinWoods" (2013) {The Case of the Case (#1.5)}	After Chuck and David leave the gang, the remaining group also split up into 2 groups of 2 and get to know each other a little better. Meanwhile Chuck reveals his true motives to David on why he chose to head back in the direction where they'd awoke in the woods. Chuck confessed to David that he found a key in the whole where they found the guns and that he wanted to backtrack to see if he could find what the key opened.
"#LawstinWoods" (2013) {The Case of the Twins (#1.2)}	3 guys who woke up in unfamiliar woods come across a girl who claims that she too woke up in the woods, and that a "zombie-type-thing" wearing a wedding dress chased her. Unknown to the captives 2 people who appear to know what's going on, discuss whether or not to tell the captives something.
"#LawstinWoods" (2013) {The Great Divide (#1.4)}	After a discussion about the buried guns they found, the gang parts ways. Chuck announces to the group that he's going to backtrack to where he'd woke up in the woods, to see if there are any clues they may have missed along the way. David decides to join him leaving the 2 sets of twins. The twins discuss whether or not Chuck can be trustworthy.
"#LawstinWoods" (2013) {The Happening (#1.3)}	The gang discuss their shock over realizing they have identical twins they didn't know about prior to waking up in the woods. The gang find guns buried in the ground and discuss what to do with them. Meanwhile Kenny Rogers talks to someone over the phone about wanting to be extracted.
"#LoveBytes" (2015)	The show plays out the trials and tribulations of the leading characters Ananya's and Abhishek's romantic relationship. Ananya Singh is a 26-year old girl from Lucknow who has been working in Mumbai for the last 6 years. Simple, not very social and rather homely, Ananya is possessive and doesn't quite understand or appreciate all the female attention her boyfriend gets. Abhishek on the other hand, is a 28 year-old copywriter in a media firm. A party animal, he is best described as driven, ambitious and affable all at once! With a deliciously urban and youthful flavor, the series underlines what makes these two very different individuals click and sometimes clash, the show also elucidates all those things that are necessary for an urban Indian relationship to sustain itself and the daily challenges that come in the way.
"#MonologueWars" (2014)	Monologue Wars pits the 8 Sided Ensemble against each other in a friendly [mostly] contest. With the help of our audience, the first monologue was chosen. Each competitor was then given one week to learn it, rehearse it, and film it. And that was where the fun began: until October 18th 2014 our competitors will be vying for the highest number of Likes on their video.
"#MovingOut" (2017)	An urban story of a modern girl - who leaves her home succumbing to the pressure of getting married, by otherwise supportive parents. She seeks herself while Moving Out of her own comfort zone,prejudice and social taboos ,while waving the flag of a New Normal.
"#Murder" (2017) {#ShanieshaForbes (#1.1)}	The premiere episode of #Murder tells the story of 14-year-old Shaniesha Forbes, a typical American teenager from Brooklyn, N.Y. If she wasn't hanging out with family or friends, she was busy scrolling through Facebook, planning her next event on her busy social calendar. But when Forbes failed to come home from school or answer her phone in January of 2013, her mother knew something was terribly wrong. To find out what happened, detectives would have to dig into her online profile to see who would want to hurt this beautiful teen. Along the way, their search for the truth will reveal every parent's worst nightmare, and show a far more sinister side of social media.
"#Nightstrife" (2014)	With Jeremy fresh off the tarmac in Chicago from Los Angeles he and Erika are ready to work through their issues and resurrect the best sketch show you've probably never heard of (but should have). #NightStrife, the television series, was birthed from a frustration with the lack of African- Americans in televised comedy and what Jeremy and Erika felt was a lack of sophistication of material given to black comedians. With #NightStrife, the webseries, they decided to create a comedy series like nothing else on YouTube.
"#NotMadMonday" (2015)	#NotMadMonday is a new, fast-paced talk show starring unlikely #BFFS, Brian Patacca + Chelsea London Lloyd. (He's from the 70s and she's a 90s bitch.) #TheyLoveIt. Drawing on their close friendship and disparity in age, this show takes irreverence to a whole new level as these co-hosts confront online dating (#serioustalk), technological dis-advancements and maddening etiquette (#wedont).
"#ScenesFromRussia" (2013)	Times for the gay community in Russia have gone from bad to worse. Times became more tumultuous and brutal for 7 LGBT friends living together when President Vladimir Putin signed a new measure into law that outlaws being gay in public or more specifically; Outlaws homosexual propaganda among minors. Scenes From Russia is a dramatic miniseries that premiered on Monday, September 2, 2013. The once a week miniseries tells the story of 7 fictional LGBT characters who all reside in the small fictitious town of Rot, located in Russia.
"#SmurTv" (2016)	Sketch comedy from the creators of the online series "Swaggapuss Gets a Job." The show is hosted by the character Swaggapuss as hits the streets to ask people what "Smur" means to them. Ramon "R.L." Terry, Malik Sims and a growing cast of others team up for pure randomness of sketch comedy.
"#SmurTv" (2016) {Stinky Coworker Top Ramen (#1.2)}	Swaggapuss continues to hit the streets with interviews asking people what #smur means to them. #SmurTv tackles the issue of that coworker with bad hygiene in the "Stinky Coworker" sketch. #SmurTv takes it back to classic wrestling interviews in "Top Ramen" a parody mimicking the interviews of such wrestlers as Macho Man Randy Savage and Hulk Hogan.
"#SoySolo" (2016)	Lucas is a young soap opera writer who is afraid to make a serious relationship after the frustration that caused him his last romantic breakup. But Juliet appears in her life, an optimist by default who is willing to rule the situation. To the fears that inhibit it are added the appearances of a psychologist mother who analyzes it compulsively, the anti-aid of his best friend and brother. By chapter we will see the step by step of the attempt of Lucas to experience something of which Juliet comes to propose in its life: a love relationship.
"#SpongeyLeaks" (2016)	Trevor's aunt, Barbara Eyster, has been living with Multiple Sclerosis. She had been provided a live-in caregiver who was paid to help care for her in her day-to-day life. On November 16, 2016, Trevor received an email from Barbara stating she was being evicted and had 3 days to remove her property from her house. When Trevor arrived to help, he was shocked by the condition of both Barbara and her house. He immediately moved in to help with her care. The day after Thanksgiving, Trevor returned to his aunt's home during an argument between the caregiver and his aunt. Multiple 911 calls were made when the caregiver refused to leave. During one of the 911 calls, the caregiver falsely claimed he was being threatened with a loaded gun. When the police arrived Trevor was arrested. Trevor posted bail, and the charges were later dropped. Trevor realized he needed to get the truth out to raise awareness for not only his aunt's situation but elder and dependent abuse as a whole. On December 19, 2016, the first #SpongeyLeaks video was released to show the public what had been going on behind closed doors in his aunt's house. The releases following look more into the details of the leading events, as well as what has happened in the days since the events of November 26.
"#SpongeyLeaks" (2016) {Leak 1.0: The House, His Aunt, Her Caregiver, the Abuse, the Gun, the Arrest (#1.1)}	Leak 1.0 is the first major look into the challenges Trevor and Barbara Eyster are facing. Trevor and Barbara both give candid insight about the house situation, the arrest and its aftermath, and the things that need to be done moving forward. The supportive relationship dynamic between Trevor and Barbara is brought to the forefront, especially as Trevor has had to drop everything in his life to support his aunt.
"#SpongeyLeaks" (2016) {Leak 1.8: After Sponge's Arrest: Barb's Medication Revelation (#1.5)}	After Trevor returns home after his brief and unjustified stint in jail, he is notified by his aunt that she had been deprived of her heart medicine during his absence. While the stress of the arrest night was getting to Barbara, she began having chest pains and needed her medicine. One of the bottles of her heart medicine had a different type of pill which would not have helped her condition. The only person with access to her pill bottles was her caregiver.
"#TanCosmo" (2014)	Mónica Fonseca, Colombian hostess, will help you create your own style and make yours the most edgy and newest trends before they become popular. Fashion, health, beauty, eco, tech, design and travel trends will get to you first, and you'll be able to know who are the creative people and forces behind them. Thus, you will stand out in the crowd!
"#TheWestbrooks" (2015) {Making the Brand (#1.1)}	The five Insta-famous WestBrooks sisters decide to throw a pool party to kick-off their brand. Meanwhile, youngest sister India is dogged by scandalous internet photos from a past fling with one famous rapper while she begins to test the relationship boundaries with another hip hop artist.
"#Untitled: The Webseries" (2017)	Laysia Malone has been going through a very difficult time for the past few years. Just as she is moving forward and meeting new people her ex, Lisa Evans, comes back into her life. Will Laysia slide back to the past or breeze forward to bigger and better things?
"#VanLifeAttila" (2016) {An Ideal Life (#3.5)}	Attila talks about his emotions about the future and how his depression and media have affected his reactions to situations. Giving advice to people to just try different things in life, in order to find out what fits. Because you might have everything you want, until you try something new and realize that what you had was not as good as what you must tried. 'Cause what you had may not be what you want, but didn't know it until you tried something else.
